ID	Plate1-102	Plate3-434	Plate2-325	Plate2-323	Plate9-216	Plate9-213	Plate3-435	Plate3-437	Plate2-328	Plate11-211	Plate2-326	Plate1-101	Plate4-433	Plate9-215	Plate1-109	Plate3-438	Plate2-321	Plate11-214	Plate1-108	Plate2-322	Plate9-220	Plate11-217	Plate3-439	Plate1-105	Plate2-330	Plate1-104	Plate9-219	Plate1-110	Plate2-324	Plate4-327	Plate3-432	Plate3-431	Plate1-103	Plate2-329	Plate1-107	Plate9-218
Dose	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
A1BG_7930	0	0.143192	0.186091	0.756107	0.894242	0.824881	1.0272	1.10826	0.500912	0.600322	1.2131	0	0.143192	0.817381	0.32983	0.927983	1.22804	0.679373	0.355498	0.750566	1.52038	0.385085	0.698849	8.0846	0.929549	0.0500399	1.06365	0.294809	0.481672	0.186091	0.383417	1.63001	0.147061	1.8402	0	0.901922
A2M_7932	4.24385	3.43811	3.56765	3.81901	3.10285	3.23178	3.71406	3.31706	3.95989	4.44472	3.60116	3.95584	3.96802	3.47026	3.20968	2.99854	3.03888	4.41134	3.31335	3.62708	3.50604	3.51751	3.20725	3.13984	3.4807	2.67611	3.95026	3.27416	3.59027	3.12121	4.02412	4.63752	4.58423	4.46135	3.65109	2.8206
AADAC_7934	5.08786	5.17418	4.9492	5.14776	5.11414	5.24693	5.07451	5.03554	5.16638	5.20151	5.2815	5.28823	5.17301	4.62026	5.17737	5.05359	5.32472	5.91928	5.32414	5.27541	5.12341	5.20671	5.34703	5.70558	5.26956	5.06731	5.00631	4.97678	5.44661	5.15048	5.15054	5.44182	4.7128	4.88669	5.45433	4.9877
AARS_7935	10.6071	10.7865	11.178	11.0415	11.0337	10.9884	10.8769	11.1313	10.855	11.22	11.006	10.5967	11.2531	11.2007	11.0844	10.9166	11.0348	10.7348	11.0334	10.7715	11.0142	11.1732	11.0668	11.3972	11.1973	11.1483	11.0664	10.9842	10.9003	10.9056	11.3282	10.8666	11.2386	11.3384	10.9321	10.9264
AASS_7936	8.59109	8.48701	8.29986	8.30979	7.91283	8.51783	8.19168	8.43293	8.32553	8.38712	8.31188	8.53241	8.15449	8.23868	8.22636	8.09784	8.39941	8.42682	8.25077	8.11958	8.50918	8.15371	8.67623	8.27168	8.57659	8.36137	8.33463	8.07144	8.23542	8.13924	8.5784	8.20659	8.37459	8.52306	8.71391	8.34015
AATF_32691	3.31632	3.00638	3.57553	3.678	3.54731	3.60719	3.47748	3.28338	3.60595	3.56056	3.60254	3.55274	3.8294	3.46311	3.51412	3.35767	3.55042	4.05686	3.41278	3.49615	3.59708	3.47723	3.42863	3.95509	3.44164	3.61782	3.24301	3.5226	3.76521	2.78403	3.65286	3.79545	3.64549	3.76546	3.29885	3.41229
ABAT_32557	6.89368	7.14254	7.12577	7.18948	7.08636	7.40867	6.94463	7.07408	7.208	7.28705	7.13768	7.19012	7.19872	6.84956	7.20458	7.22893	7.04212	7.32498	7.20352	7.10677	7.29309	7.00843	7.33092	7.2203	7.31058	7.27448	7.03703	7.06639	7.20051	6.91648	7.07309	7.11005	7.03176	7.30183	7.15701	7.13646
ABCB11_33142	6.74596	7.13086	6.78861	7.19463	7.25159	7.02585	7.43542	6.8523	7.32615	6.86139	7.11188	7.38465	6.57632	7.07387	6.85314	6.86365	7.24069	7.19439	6.8968	7.03646	6.97237	7.17475	7.37817	7.22708	6.68402	6.65352	7.00231	7.26129	6.96517	7.15357	7.03762	7.33752	7.05658	7.19643	7.2945	6.93002
ABCB1A_7938	3.41358	2.80036	1.76817	3.14418	2.96437	3.42863	2.56731	2.44944	3.35379	3.58582	3.23314	2.75562	2.84043	2.54899	2.774	1.36239	3.34406	2.51539	1.76521	3.12889	2.52382	2.17557	3.31141	2.91863	3.71932	2.30319	2.3752	3.23911	2.55385	1.62639	3.40877	3.14697	3.51741	1.36912	2.94061	2.58075
