ID	Plate1-106	Plate3-438	Plate3-431	Plate9-219	Plate2-330	Plate9-220	Plate4-327	Plate2-326	Plate2-329	Plate1-101	Plate4-433	Plate11-212	Plate3-439	Plate9-218	Plate3-436	Plate9-213	Plate9-216	Plate9-215	Plate1-109	Plate3-432	Plate3-440	Plate1-107	Plate2-321	Plate1-103	Plate1-108	Plate3-435	Plate1-105	Plate1-110	Plate1-104	Plate2-328	Plate11-214	Plate3-434	Plate3-437	Plate2-325	Plate2-324	Plate11-217
Dose	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
A1BG_7930	0	0.927983	1.63001	1.06365	0.929549	1.52038	0.186091	1.2131	1.8402	0	0.143192	0.385085	0.698849	0.901922	1.39777	0.824881	0.894242	0.817381	0.32983	0.383417	0.612444	0	1.22804	0.147061	0.355498	1.0272	8.0846	0.294809	0.0500399	0.500912	0.679373	0.143192	1.10826	0.186091	0.481672	0.385085
A2M_7932	4.21903	2.99854	4.63752	3.95026	3.4807	3.50604	3.12121	3.60116	4.46135	3.95584	3.96802	3.81182	3.20725	2.8206	3.58293	3.23178	3.10285	3.47026	3.20968	4.02412	3.37957	3.65109	3.03888	4.58423	3.31335	3.71406	3.13984	3.27416	2.67611	3.95989	4.41134	3.43811	3.31706	3.56765	3.59027	3.51751
AADAC_7934	5.10391	5.05359	5.44182	5.00631	5.26956	5.12341	5.15048	5.2815	4.88669	5.28823	5.17301	5.47206	5.34703	4.9877	5.3911	5.24693	5.11414	4.62026	5.17737	5.15054	5.05698	5.45433	5.32472	4.7128	5.32414	5.07451	5.70558	4.97678	5.06731	5.16638	5.91928	5.17418	5.03554	4.9492	5.44661	5.20671
AARS_7935	11.2065	10.9166	10.8666	11.0664	11.1973	11.0142	10.9056	11.006	11.3384	10.5967	11.2531	10.8707	11.0668	10.9264	10.8331	10.9884	11.0337	11.2007	11.0844	11.3282	11.1694	10.9321	11.0348	11.2386	11.0334	10.8769	11.3972	10.9842	11.1483	10.855	10.7348	10.7865	11.1313	11.178	10.9003	11.1732
AASS_7936	7.84673	8.09784	8.20659	8.33463	8.57659	8.50918	8.13924	8.31188	8.52306	8.53241	8.15449	8.4194	8.67623	8.34015	8.39274	8.51783	7.91283	8.23868	8.22636	8.5784	8.02244	8.71391	8.39941	8.37459	8.25077	8.19168	8.27168	8.07144	8.36137	8.32553	8.42682	8.48701	8.43293	8.29986	8.23542	8.15371
AATF_32691	3.42911	3.35767	3.79545	3.24301	3.44164	3.59708	2.78403	3.60254	3.76546	3.55274	3.8294	3.3003	3.42863	3.41229	3.77057	3.60719	3.54731	3.46311	3.51412	3.65286	3.6631	3.29885	3.55042	3.64549	3.41278	3.47748	3.95509	3.5226	3.61782	3.60595	4.05686	3.00638	3.28338	3.57553	3.76521	3.47723
ABAT_32557	7.29738	7.22893	7.11005	7.03703	7.31058	7.29309	6.91648	7.13768	7.30183	7.19012	7.19872	7.10757	7.33092	7.13646	7.35105	7.40867	7.08636	6.84956	7.20458	7.07309	7.08521	7.15701	7.04212	7.03176	7.20352	6.94463	7.2203	7.06639	7.27448	7.208	7.32498	7.14254	7.07408	7.12577	7.20051	7.00843
ABCB11_33142	7.32408	6.86365	7.33752	7.00231	6.68402	6.97237	7.15357	7.11188	7.19643	7.38465	6.57632	7.21106	7.37817	6.93002	6.9833	7.02585	7.25159	7.07387	6.85314	7.03762	7.10245	7.2945	7.24069	7.05658	6.8968	7.43542	7.22708	7.26129	6.65352	7.32615	7.19439	7.13086	6.8523	6.78861	6.96517	7.17475
ABCB1A_7938	1.61355	1.36239	3.14697	2.3752	3.71932	2.52382	1.62639	3.23314	1.36912	2.75562	2.84043	2.54236	3.31141	2.58075	3.32573	3.42863	2.96437	2.54899	2.774	3.40877	2.02809	2.94061	3.34406	3.51741	1.76521	2.56731	2.91863	3.23911	2.30319	3.35379	2.51539	2.80036	2.44944	1.76817	2.55385	2.17557
ABCB1B_7939	0.566782	0.234543	0.594258	0.116625	0.379761	0.339093	0.0872999	0.42009	0.473288	0.326402	0	0.145882	0	0.431658	0.987639	0.833995	0.273381	0.1471	0.28091	0.235112	0.248509	0.503388	0.796945	0.271078	0.00299218	0	0.310742	0.687953	0.00299218	0.0872999	0	0.65562	0.246373	0.384551	0.382881	0.501129
ABCB6_7940	1.21692	0.821842	0.367641	0.658608	0.832646	0.719412	0.392046	0.934477	1.24876	0.937028	0.523002	1.37891	0.592708	0.902901	1.40664	0.74003	0.767659	1.15646	1.11898	1.21862	0.693856	0.959423	1.33744	0.794757	0.87145	1.21863	0.897616	0.618288	0.96755	0.48057	0.416437	1.01388	0.689006	0.844971	0.448252	0.708457
ABCC1_32904	2.02513	1.36669	1.7038	1.3896	1.85905	1.20219	2.04091	1.81858	1.88383	2.07983	2.35359	1.98496	1.61249	1.26378	1.6417	2.01224	0.951635	2.53728	1.72521	1.46508	1.85751	2.16435	1.7972	1.77352	1.17729	2.17315	1.40054	1.92622	1.77137	2.26608	1.55758	2.13881	1.07296	1.47381	1.34667	2.34311
ABCC2_32541	2.90197	2.53878	3.50217	2.90363	2.79724	2.57584	2.75938	3.0264	2.24996	3.47543	2.70658	3.06082	3.34978	2.7922	2.55957	2.84542	2.82547	2.29708	2.79639	2.77945	2.21566	3.1619	3.10434	2.57159	2.13569	3.0804	3.20652	2.73713	2.38432	2.89593	3.24993	2.9688	2.60217	2.81883	2.81133	2.50896
ABCC3_7941	2.20213	1.82438	1.9186	1.61943	1.62373	2.1607	2.40747	1.6622	2.56022	2.18963	2.21947	2.05124	2.40064	1.50034	2.33209	2.43198	2.70303	2.50961	2.47028	1.74691	2.79725	1.90075	2.844	2.08699	1.36364	2.91442	3.70128	2.41299	1.71778	1.60019	2.02667	2.11549	1.79652	2.14509	2.61539	2.9092
ABCC4_32768	1.16526	0.938783	0.340678	0.362466	0.333968	1.05188	0.93433	0.628989	0.488658	0.618225	1.14859	0.765771	0.565745	0.35425	0.682727	0.937039	0.669818	0.160661	0.308713	0.250313	0.47934	0.30258	0.98166	0.29888	0.273496	0.894098	0.807594	0.886952	0.936408	0.113277	0.454949	0.670821	0.261573	0.342054	0.548753	0.746969
ABCC5_7942	3.15619	3.49288	3.62818	3.56871	3.20861	3.87393	3.64079	3.67099	3.92387	3.54282	3.81135	3.42265	3.6554	3.29789	3.53769	3.66876	3.54538	3.72772	4.07866	3.59009	3.89955	3.37213	3.48202	3.5752	3.454	3.69942	4.09046	3.31473	3.86229	2.69773	3.5141	3.28675	3.56161	4.00991	3.6521	3.96632
ABCC6_7943	1.07951	0.990537	1.2557	1.00944	0.996828	1.21812	1.58631	0.243079	0.851593	0.948747	0.740603	0.512996	1.4648	0.447069	0.734482	1.002	1.07378	1.34436	0.989246	0.992303	0.718648	1.11099	0.419834	0.806476	1.35042	0.770359	0.721846	0.630007	1.20649	1.21079	1.17462	1.41179	0.313328	0.847787	1.15169	0.959126
ABCF1_7945	4.65841	4.23502	4.91791	4.41392	4.74413	3.9472	4.27276	4.25774	4.74002	4.57256	4.26143	4.59325	4.82571	4.44476	4.27534	4.70231	4.42033	4.61186	4.78281	4.51175	4.49963	4.32214	4.45496	4.51787	4.26473	4.64323	4.51096	4.80083	4.37573	4.40634	4.71115	4.56918	4.32039	4.71991	4.42147	4.46269
ABCF3_7946	7.42955	6.65853	7.03348	6.87345	7.06497	7.01486	7.13654	7.0328	6.70957	7.13558	6.98245	7.25694	6.91912	6.67251	6.96622	7.11882	7.04346	6.87869	7.33017	7.10476	7.1061	6.79728	7.11927	6.8989	7.25867	7.20514	7.07175	7.15562	7.02672	7.02783	7.1576	7.42424	7.0929	7.03102	7.18058	7.34888
ABCG2_32656	4.14161	3.41508	3.91027	3.77864	3.846	3.83527	3.99187	3.59079	3.87102	3.7429	4.11044	3.75223	3.7373	3.60601	3.80201	3.98784	3.80213	3.97989	3.92358	4.49493	3.91583	4.15736	4.03998	3.9463	3.78158	4.02598	4.07624	3.81972	3.69901	3.93635	4.47241	4.1452	3.64492	4.04165	3.57191	4.02783
ABCG5_7947	4.80437	4.3733	4.78463	4.68673	4.81082	4.39429	4.4343	4.75916	5.19014	4.08629	4.38684	4.13395	5.25232	4.6787	5.08074	5.49078	5.07432	4.2304	4.63998	4.57434	4.83907	5.16481	4.91312	5.01458	3.67862	4.33353	4.86378	4.71448	4.88569	4.49172	4.98986	4.49096	4.20322	4.21403	4.33469	4.11858
ABCG8_7948	0.0986352	0	1.55091	1.00368	0.0986352	0	0.0986352	0.0986352	0.0986352	0.0986352	0	0	0	0	0	0	0	0	0.0986352	0	0	0.0986352	0.0986352	0.0986352	0.0986352	0	0.0986352	0.0986352	0.0986352	0.0986352	0	0	0	0.0986352	0.0986352	0
ABHD1_7949	4.89154	5.14463	4.8645	4.99394	4.8555	5.18263	4.69056	4.81276	5.17397	5.26556	4.93043	5.00567	5.19062	4.76671	4.89598	4.68397	4.75866	4.85084	4.61385	4.92287	4.81659	5.01293	4.97024	4.84557	4.98047	4.89028	5.32277	4.60528	4.96766	4.99163	5.13222	4.84603	4.84166	4.93523	4.80334	4.90868
ABHD4_7950	2.5894	1.84921	2.78527	1.83827	2.1456	2.0935	2.206	1.98565	2.07438	2.76069	2.2443	2.11134	2.28291	2.23588	2.23166	2.19539	1.93621	2.11773	1.6431	1.77173	2.26227	1.9638	2.21209	2.40233	2.2767	2.49149	2.52445	2.27704	1.7091	2.6697	2.63477	1.7515	2.25196	2.01682	1.84394	2.01175
