ID	Plate1-107	Plate3-436	Plate3-431	Plate2-325	Plate2-329	Plate11-217	Plate9-213	Plate11-212	Plate1-108	Plate3-440	Plate2-322	Plate9-218	Plate4-433	Plate1-110	Plate1-104	Plate9-215	Plate1-105	Plate1-101	Plate2-324	Plate9-219	Plate3-439	Plate4-327	Plate2-321	Plate2-330	Plate3-438	Plate3-435	Plate1-109	Plate2-328	Plate2-323	Plate3-432	Plate11-211	Plate3-437	Plate3-434	Plate2-326	Plate1-106	Plate9-216
Dose	0	0	0	0	8	8	8	8	16	16	16	16	31.25	31.25	31.25	31.25	62.5	62.5	62.5	62.5	125	125	125	125	250	250	250	250	500	500	500	500	1000	1000	1000	1000
A1BG_7930	0	1.39777	1.63001	0.186091	1.8402	0.385085	0.824881	0.385085	0.355498	0.612444	0.750566	0.901922	0.143192	0.294809	0.0500399	0.817381	8.0846	0	0.481672	1.06365	0.698849	0.186091	1.22804	0.929549	0.927983	1.0272	0.32983	0.500912	0.756107	0.383417	0.600322	1.10826	0.143192	1.2131	0	0.894242
A2M_7932	3.65109	3.58293	4.63752	3.56765	4.46135	3.51751	3.23178	3.81182	3.31335	3.37957	3.62708	2.8206	3.96802	3.27416	2.67611	3.47026	3.13984	3.95584	3.59027	3.95026	3.20725	3.12121	3.03888	3.4807	2.99854	3.71406	3.20968	3.95989	3.81901	4.02412	4.44472	3.31706	3.43811	3.60116	4.21903	3.10285
AADAC_7934	5.45433	5.3911	5.44182	4.9492	4.88669	5.20671	5.24693	5.47206	5.32414	5.05698	5.27541	4.9877	5.17301	4.97678	5.06731	4.62026	5.70558	5.28823	5.44661	5.00631	5.34703	5.15048	5.32472	5.26956	5.05359	5.07451	5.17737	5.16638	5.14776	5.15054	5.20151	5.03554	5.17418	5.2815	5.10391	5.11414
AARS_7935	10.9321	10.8331	10.8666	11.178	11.3384	11.1732	10.9884	10.8707	11.0334	11.1694	10.7715	10.9264	11.2531	10.9842	11.1483	11.2007	11.3972	10.5967	10.9003	11.0664	11.0668	10.9056	11.0348	11.1973	10.9166	10.8769	11.0844	10.855	11.0415	11.3282	11.22	11.1313	10.7865	11.006	11.2065	11.0337
AASS_7936	8.71391	8.39274	8.20659	8.29986	8.52306	8.15371	8.51783	8.4194	8.25077	8.02244	8.11958	8.34015	8.15449	8.07144	8.36137	8.23868	8.27168	8.53241	8.23542	8.33463	8.67623	8.13924	8.39941	8.57659	8.09784	8.19168	8.22636	8.32553	8.30979	8.5784	8.38712	8.43293	8.48701	8.31188	7.84673	7.91283
AATF_32691	3.29885	3.77057	3.79545	3.57553	3.76546	3.47723	3.60719	3.3003	3.41278	3.6631	3.49615	3.41229	3.8294	3.5226	3.61782	3.46311	3.95509	3.55274	3.76521	3.24301	3.42863	2.78403	3.55042	3.44164	3.35767	3.47748	3.51412	3.60595	3.678	3.65286	3.56056	3.28338	3.00638	3.60254	3.42911	3.54731
ABAT_32557	7.15701	7.35105	7.11005	7.12577	7.30183	7.00843	7.40867	7.10757	7.20352	7.08521	7.10677	7.13646	7.19872	7.06639	7.27448	6.84956	7.2203	7.19012	7.20051	7.03703	7.33092	6.91648	7.04212	7.31058	7.22893	6.94463	7.20458	7.208	7.18948	7.07309	7.28705	7.07408	7.14254	7.13768	7.29738	7.08636
ABCB11_33142	7.2945	6.9833	7.33752	6.78861	7.19643	7.17475	7.02585	7.21106	6.8968	7.10245	7.03646	6.93002	6.57632	7.26129	6.65352	7.07387	7.22708	7.38465	6.96517	7.00231	7.37817	7.15357	7.24069	6.68402	6.86365	7.43542	6.85314	7.32615	7.19463	7.03762	6.86139	6.8523	7.13086	7.11188	7.32408	7.25159
ABCB1A_7938	2.94061	3.32573	3.14697	1.76817	1.36912	2.17557	3.42863	2.54236	1.76521	2.02809	3.12889	2.58075	2.84043	3.23911	2.30319	2.54899	2.91863	2.75562	2.55385	2.3752	3.31141	1.62639	3.34406	3.71932	1.36239	2.56731	2.774	3.35379	3.14418	3.40877	3.58582	2.44944	2.80036	3.23314	1.61355	2.96437
ABCB1B_7939	0.503388	0.987639	0.594258	0.384551	0.473288	0.501129	0.833995	0.145882	0.00299218	0.248509	0.0872999	0.431658	0	0.687953	0.00299218	0.1471	0.310742	0.326402	0.382881	0.116625	0	0.0872999	0.796945	0.379761	0.234543	0	0.28091	0.0872999	0.0872999	0.235112	0.483031	0.246373	0.65562	0.42009	0.566782	0.273381
