Probe name	D0_rep1	D0_rep2	D0_rep3	D0_rep4	D1_rep1	D1_rep2	D1_rep3	D2_rep1	D2_rep2	D2_rep3	D3_rep1	D3_rep2	D3_rep3	D4_rep1	D4_rep2	D4_rep3	D5_rep1	D5_rep2	D5_rep3	D6_rep1	D6_rep2	D6_rep3	D6_rep4	D7_rep1	D7_rep2	D7_rep3	D7_rep4	D8_rep1	D8_rep2	D8_rep3	D8_rep4
PFOA DOSE (mg/kg)	0	0	0	0	0.156	0.156	0.156	0.3125	0.3125	0.3125	0.625	0.625	0.625	1.25	1.25	1.25	2.5	2.5	2.5	5	5	5	5	10	10	10	10	20	20	20	20
APOC3_32553	6.45890288913709	6.50143475425608	8.16261347612356	6.47287438161207	6.72472671888985	6.78744180976647	8.13673820084157	6.26646255642792	5.29270806586732	5.96041295419095	7.32045558954915	6.37266838200908	6.12509846288053	6.05948477193579	6.83336653871868	6.44773969215006	6.55385199397109	7.11737400923938	6.40924172771537	7.49701464030849	7.04298923982802	6.25131683082656	6.61523536193879	5.92486687528847	5.9205114164576	6.86685256212543	6.05540054769564	6.10129445383822	6.47677740407884	6.16741238736198	6.67210255467821
IFNB1_32501	0.0711496934821322	0	0	0	0	0.0715194298336012	0	0	0	0	0	0	0	0.0769447904992894	0	0	0	0	0	0	0	0	0	0	0	0	0.0757543633099182	0	0	0	0
TAGLN2_9982	0.44241696902523	0.398258623316459	0.481873659667509	0.652146865384935	0.459985407070655	0.674920078748207	0.342362764925818	0.464039603459846	0.844928126604723	0.388485968553925	0.42955239594577	0.718237861628272	0.999805373614406	0.852357396036483	1.00991342594774	0.604984481720695	0.390751277678884	0.804657224504685	0.00802737360076949	0.449078419536064	0.450381238062209	0.0501037994149576	0.362475232201689	0.375285318797571	0.553883288261114	0.450080888859279	0.897040753543975	0.394292416093367	0.689998877376582	0.70100260435413	0.380356389221428
THBD_32575	0.787929117619	1.1684233744241	0.417622101470846	0.502898593129304	0.62411249750483	0.710772190990916	0.133567198371664	0.554608273210228	0.710706901882066	0.499756395861251	0.615625362681752	0.37109257764549	0.769930369936148	0.421379500207304	0.273504159369427	0.78954217005804	0.149423301963442	0.321153217748216	0.606848296057876	0.149071013451784	0.614307638951845	0.680744018570356	0.290044760243444	0.432273246819474	0.394547780939033	0.535896327891649	0.517839604399584	0.566503619097129	0.424754564854738	0.368936836588951	0.375589492117289
ESM1_32480	0.0864314836436538	0.172142902889299	0	0.185436875423491	0.167946504735455	0.213790729348666	0.146594652280175	0.18198208487632	0	0	0.124456382547614	0.124207346493412	0.188543029989828	0.178870519119976	0.159710679647677	0.148563447463568	0	0.186025630487556	0.161802562567415	0.206356328759629	0.140818437235301	0.125606493091822	0	0	0.186391067665078	0.174059914663083	0	0	0.102253502700086	0	0
FSHB_33074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SELE_32346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDR12_10166	1.34074519642736	1.68445290857137	2.61138149039678	2.70816433683052	2.02647803217158	2.25641192466331	2.00384592568421	1.80271540388823	2.10783699781623	2.45005815639177	2.10977431364151	1.12074072647348	3.16222408488178	1.95865765215377	1.80801384004398	1.7439609508482	1.75156195786885	1.29655941398239	2.29730902044616	1.41455265124293	1.74338566738913	2.59816428682301	2.18839189624753	1.69404548225176	2.27324235789191	1.84921179769912	2.46745648245037	1.89731792059478	2.26083281756679	2.62901547560372	1.62048546394784
CASP8_32959	1.29704779035357	1.4837335357141	1.3230073874304	0.802227683300631	1.1626905446948	0.895069906387906	1.43835774699877	1.22135604439667	1.42480904545036	0.888808503958326	1.23956651205774	1.59096301848388	1.09692748015106	1.33935561365853	1.10283662834919	1.27557980762488	1.22429609793121	1.43931917649803	1.61377576825642	1.1658171648593	0.961833787065638	0.948648723628895	1.04971424829786	0.93887142077208	1.01767677126692	1.14747864826687	1.4739487947765	0.890692526600399	1.06979309516969	0.697090183978442	1.1132059445843
